time,surface_pressure (hPa),soil_moisture_0_to_7cm (m³/m³),et0_fao_evapotranspiration (mm),rain (mm),windspeed_10m (km/h),relativehumidity_2m (%),temperature_2m (°C),soil_temperature_0_to_7cm (°C),cloudcover (%),shortwave_radiation (W/m²),weathercode (wmo code)
2013-05-15,994.4541666666668,0.26629166666666665,3.4,0.30000000000000004,6.6875,72.83333333333333,17.104166666666668,17.920833333333334,54.708333333333336,5151.0,1
2013-05-16,987.4499999999999,0.25975,4.15,0.6,9.483333333333333,66.79166666666667,19.320833333333333,19.599999999999998,39.208333333333336,5897.0,1
2013-05-17,993.3083333333334,0.25745833333333334,3.16,3.8,13.137500000000001,78.91666666666667,17.445833333333333,18.879166666666666,38.25,5341.0,2
2013-05-18,998.6999999999999,0.24841666666666665,4.93,0.0,5.945833333333333,62.083333333333336,19.458333333333332,19.754166666666666,10.875,7337.0,1
2013-05-19,999.7666666666668,0.23583333333333334,4.2700000000000005,0.0,13.933333333333332,70.58333333333333,17.575,19.283333333333335,8.708333333333334,7333.0,0
2013-05-20,1004.0958333333333,0.22695833333333335,4.35,0.1,8.654166666666667,68.0,16.599999999999998,18.758333333333333,20.25,7119.0,0
2013-05-21,999.1875,0.227125,4.1,3.5,6.795833333333333,67.91666666666667,17.045833333333334,18.516666666666666,34.708333333333336,6240.0,0
2013-05-22,986.0833333333334,0.3004583333333333,3.42,14.0,14.75,76.70833333333333,18.620833333333334,19.3625,44.708333333333336,5581.0,53
2013-05-23,985.3541666666666,0.3757916666666667,2.43,13.2,14.200000000000001,83.58333333333333,16.116666666666667,17.858333333333334,74.66666666666667,4806.0,53
2013-05-24,994.7458333333334,0.3498333333333334,3.79,1.0,20.804166666666667,68.83333333333333,15.966666666666667,17.4125,45.833333333333336,6151.0,1
2013-05-25,997.2166666666667,0.3312916666666667,3.38,3.8000000000000003,18.625,63.875,14.362499999999999,16.108333333333334,46.875,5333.0,0
2013-05-26,998.8833333333333,0.3254166666666667,3.67,4.0,17.279166666666665,65.66666666666667,14.345833333333333,16.05,35.166666666666664,6176.0,1
2013-05-27,1000.6374999999999,0.30520833333333336,3.7399999999999998,0.1,8.595833333333333,66.125,15.091666666666667,16.445833333333333,45.208333333333336,6290.0,0
2013-05-28,992.5291666666667,0.28883333333333333,4.0,0.1,6.841666666666666,69.20833333333333,17.55,17.879166666666666,23.25,5991.0,1
2013-05-29,991.8625000000001,0.278,3.65,1.2,11.566666666666668,78.08333333333333,16.325,18.129166666666666,35.291666666666664,6553.0,0
2013-05-30,993.3375,0.2992916666666667,3.48,11.1,13.3375,73.45833333333333,13.991666666666667,16.650000000000002,55.541666666666664,6494.0,2
2013-05-31,993.2125,0.39770833333333333,2.38,26.1,13.145833333333334,85.16666666666667,13.887500000000001,15.570833333333333,70.95833333333333,4951.0,53
2013-06-01,992.7166666666667,0.39587500000000003,2.79,4.8,7.6375,82.41666666666667,14.475,15.708333333333334,58.833333333333336,5188.0,3
2013-06-02,996.4416666666666,0.3753333333333333,3.63,0.0,5.825,84.375,15.458333333333334,16.791666666666668,54.166666666666664,6418.0,1
2013-06-03,998.7624999999999,0.3575833333333333,3.45,4.4,5.554166666666667,82.375,16.745833333333334,17.787499999999998,54.958333333333336,5697.0,1
2013-06-04,999.2375000000001,0.35333333333333333,3.14,8.4,4.804166666666666,86.83333333333333,16.641666666666666,17.916666666666668,46.0,5576.0,0
2013-06-05,1001.4208333333332,0.347,3.5500000000000003,2.9,4.604166666666667,84.29166666666667,17.083333333333332,18.295833333333334,42.708333333333336,6117.0,2
2013-06-06,1002.0416666666666,0.3314166666666667,4.3,0.0,4.383333333333334,84.91666666666667,18.108333333333334,19.224999999999998,31.083333333333332,6704.0,1
2013-06-07,1000.5166666666668,0.31395833333333334,5.04,0.0,7.45,73.20833333333333,19.974999999999998,20.604166666666668,4.291666666666667,7647.0,0
2013-06-08,1000.3208333333333,0.298625,4.61,0.0,5.6625000000000005,83.20833333333333,19.554166666666667,20.787499999999998,13.791666666666666,7338.0,0
2013-06-09,998.9499999999999,0.28733333333333333,4.59,0.0,4.933333333333333,81.95833333333333,19.508333333333333,20.991666666666667,33.416666666666664,7277.0,0
2013-06-10,996.9958333333334,0.27999999999999997,4.33,0.6000000000000001,9.533333333333333,78.29166666666667,18.570833333333333,20.1125,28.0,7249.0,0
2013-06-11,997.7333333333332,0.272,4.16,0.9,8.700000000000001,77.41666666666667,18.529166666666665,20.275000000000002,22.75,6912.0,0
2013-06-12,999.8208333333333,0.2609166666666667,5.05,0.0,5.820833333333333,75.41666666666667,19.316666666666666,20.775000000000002,3.5416666666666665,7691.0,0
2013-06-13,1000.9041666666667,0.24791666666666667,5.38,0.0,6.808333333333334,67.375,20.25,21.070833333333333,0.0,8000.0,0
